EG,StockCode,StockFullName1
WGEF,rju.27.8c,Undulate ray (Raja undulata) in Division 8.c (Cantabrian Sea)
WGEF,rju.27.9a,Undulate ray (Raja undulata) in Division 9.a (Atlantic Iberian waters)
WGEF,sck.27.nea,"Kitefin shark (Dalatias licha) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,sdv.27.nea,"Smooth-hound (Mustelus spp.) in subareas 1–10, 12, and 14 (Northeast Atlantic and adjacent waters)"
WGEF,sho.27.67,"Black-mouth dogfish (Galeus melastomus) in subareas 6 and 7 (West of Scotland, southern Celtic Seas, English Channel)"
WGEF,sho.27.89a,"Black-mouth dogfish (Galeus melastomus) in Subarea 8 and in Division 9.a (Bay of Biscay, Atlantic Iberian waters)"
WGEF,syc.27.3a47d,"Lesser spotted dogfish (Scyliorhinus canicula) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, eastern English Channel)"
WGEF,syc.27.67a-ce-j,"Lesser spotted dogfish (Scyliorhinus canicula) in Subarea 6 and in divisions 7.a–c and 7.e–j  (West of Scotland, Irish Sea, southern Celtic Seas)"
WGEF,syc.27.8abd,"Lesser spotted dogfish (Scyliorhinus canicula) in divisions 8.a, 8.b, and 8.d (Bay of Biscay)"
WGEF,syc.27.8c9a,"Lesser spotted dogfish (Scyliorhinus canicula) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)"
WGEF,syt.27.67,"Greater-spotted dogfish (Scyliorhinus stellaris) in subareas 6 and 7 (West of Scotland, southern Celtic Sea, English Channel)"
WGEF,thr.27.nea,"Thresher sharks (Alopias spp.) in subareas 10 and 12; in divisions 7.c–k, 8.d, and 8.e; and in subdivisions 5.b.1, 9.b.1, and 14.b.1 (Northeast Atlantic)"
WGHANSA,,
WGHANSA,,
WGHANSA,ane.27.8,Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)
WGHANSA,ane.27.9a,Anchovy (Engraulis encrasicolus) in Division 9.a (Atlantic Iberian waters)
WGHANSA,ane.27.9aS,Anchovy (Engraulis encrasicolus) in the southern part of Division 9.a (Gulf of Cadiz and southern coast of Portugal)
WGHANSA,ane.27.9aW,Anchovy (Engraulis encrasicolus) in the western part of Division 9.a (western Iberian waters).
WGHANSA,hom.27.9a,Horse mackerel (Trachurus trachurus) in Division 9.a (Atlantic Iberian waters)
WGHANSA,jaa.27.10a2,Blue jack mackerel (Trachurus picturatus) in Subdivision 10.a.2 (Azores grounds)
WGHANSA,pil.27.7,"Sardine (Sardina pilchardus) in Subarea 7 (Southern Celtic Seas, English Channel) "
WGHANSA,pil.27.8abd,"Sardine (Sardina pilchardus) in divisions 8.a, 8.b, and 8.d (Bay of Biscay)"
WGHANSA,pil.27.8c9a,"Sardine (Sardina pilchardus) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)"
WGNAS,,
WGNAS,sal.nac.all,Salmon (Salmo salar) from North America
WGNAS,sal.neac.all,Salmon (Salmo salar) in Northeast Atlantic and Arctic Ocean
WGNAS,sal.wgc.all,Salmon (Salmo salar) in Subarea 14 and NAFO division 1 (east and west of Greenland)
WGNSSK,,
WGNSSK,,
WGNSSK,bll.27.3a47de,"Brill (Scophthalmus rhombus) in Subarea 4 and in divisions 3.a, 7.d, and 7.e (North Sea, Skagerrak, Kattegat, English Channel)"
WGNSSK,cod.27.46a7d20,"Cod in Subarea 4, in divisions 6.a and 7.d, and in Subdivision 20 (North Sea, West of Scotland, eastern English Channel, Skagerrak)"
WGNSSK,dab.27.3a4,"Dab (Limanda limanda) in Subarea 4 and Division 3.a (North Sea, Skagerrak, Kattegat)"
WGNSSK,fle.27.3a4,"Flounder (Platichthys flesus) in Subarea 4 and in Division 3.a (North Sea, Skagerrak, Kattegat)"
WGNSSK,gug.27.3a47d,"Grey gurnard (Eutrigla gurnardus) in Subarea 4 and in divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak, Kattegat)"
WGNSSK,had.27.46a20,"Haddock (Melanogrammus aeglefinus) in Subarea 4, in Division 6.a, and in Subdivision 20  (North Sea, West of Scotland, Skagerrak)"
WGNSSK,lem.27.3a47d,"Lemon sole (Microstomus kitt) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, eastern English Channel)"
WGNSSK,mur.27.3a47d,"Striped red mullet (Mullus surmuletus) in Subarea 4 and in divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak, Kattegat)"
WGNSSK,nep.27.4outFU,"Norway lobster (Nephrops norvegicus) in Subarea 4, outside the functional units (North Sea)"
WGNSSK,nep.fu.10,"Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 10 (northern North Sea, Noup)"
WGNSSK,nep.fu.3-4,"Norway lobster (Nephrops norvegicus) in Division 3.a, functional units 3 and 4 (Skagerrak, Kattegat)"
WGNSSK,nep.fu.32,"Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 32 (northern North Sea, Norway Deep)"
WGNSSK,nep.fu.33,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 33 (central North Sea, Horn’s Reef)"
WGNSSK,nep.fu.34,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 34 (central North Sea, Devil’s Hole)"
WGNSSK,nep.fu.5,"Norway lobster (Nephrops norvegicus) in divisions 4.b and 4.c, Functional Unit 5 (central and southern North Sea, Botney Cut-Silver Pit)"
WGNSSK,nep.fu.6,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 6 (central North Sea, Farn Deeps)"
WGNSSK,nep.fu.7,"Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 7 (northern North Sea, Fladen Ground)"
WGNSSK,nep.fu.8,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 8 (central North Sea, Firth of Forth)"
WGNSSK,nep.fu.9,"Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 9 (central North Sea, Moray Firth)"
WGNSSK,nop.27.3a4,"Norway pout (Trisopterus esmarkii) in Subarea 4 and in Division 3.a (North Sea, Skagerrak, Kattegat)"
WGNSSK,ple.27.420,Plaice (Pleuronectes platessa) in Subarea 4 (North Sea) and in Subdivision 20 (Skagerrak)
WGNSSK,ple.27.7d,Plaice (Pleuronectes platessa) in Division 7.d (eastern English Channel)
WGNSSK,pok.27.3a46,"Saithe (Pollachius virens) in subareas 4 and 6 and in Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak, Kattegat)"
WGNSSK,pok.27.7-10,"Saithe (Pollachius virens) in subareas 7–10 (Southern Celtic Sea and the English Channel, Bay of Biscay, Atlantic Iberian waters, Azores grounds)"
WGNSSK,pol.27.3a4,"Pollack (Pollachius pollachius) in Subarea 4 and in Division 3.a (North Sea, Skagerrak, Kattegat)"
WGNSSK,sol.27.4,Sole (Solea solea) in Subarea 4 (North Sea)
WGNSSK,sol.27.7d,Sole (Solea solea) in Division 7.d (eastern English Channel)
WGNSSK,tur.27.3a,"Turbot (Scophthalmus maximus) in Division 3.a (Skagerrak, Kattegat)"
WGNSSK,tur.27.4,Turbot (Scophthalmus maximus) in Subarea 4 (North Sea)
WGNSSK,whg.27.3a,"Whiting (Merlangius merlangus) in Division 3.a (Skagerrak, Kattegat)"
WGNSSK,whg.27.47d,"Whiting (Merlangius merlangus) in Subarea 4 and in Division 7.d (North Sea, eastern English Channel)"
WGNSSK,wit.27.3a47d,"Witch (Glyptocephalus cynoglossus) in Subarea 4 and in divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, eastern English Channel)"
WGWIDE,,
WGWIDE,boc.27.6-8,"Boarfish (Capros aper) in subareas 6–8 (Celtic Seas, English Channel, Bay of Biscay)"
WGWIDE,gur.27.3-8,Red gurnard (Chelidonichthys cuculus) in subareas 3–8 (Northeast Atlantic)
WGWIDE,her.27.1-24a514a,"Herring (Clupea harengus) in subareas 1, 2, and 5 and in divisions 4.a and 14.a; Norwegian spring spawners (the Northeast Atlantic and Arctic Ocean)"
WGWIDE,hom.27.2a3a4a5b6a7a-ce-k8,"Horse mackerel (Trachurus trachurus) in Subarea 8 and divisions 2.a, 3.a, 4.a, 5.b, 6.a, 7.a–c, and 7.e–k (Northeast Atlantic and adjacent waters)"
WGWIDE,hom.27.4bc7d,"Horse mackerel (Trachurus trachurus) in divisions 4.b, 4.c, and 7.d (southern and central North Sea, eastern English Channel)"
WGWIDE,mac.27.nea,Mackerel (Scomber scombrus) in subareas 1–8 and 14 and in Division 9.a (Northeast Atlantic and adjacent waters)
WGWIDE,mur.27.67a-ce-k89a,"Striped red mullet (Mullus surmuletus) in subareas 6 and 8 and in divisions 7.a–c, 7.e–k, and 9.a (North Sea, Bay of Biscay, southern Celtic Seas, Atlantic Iberian waters)"
WGWIDE,whb.27.1-91214,"Blue whiting (Micromesistius poutassou) in subareas 1–9, 12, and 14 (Northeast Atlantic and adjacent waters)"
