EG,StockCode,StockFullName1
NWWG,reb.2127.dp,"Beaked redfish (Sebastes mentella) in ICES subareas 5, 12, and 14 (Iceland and Faroe grounds, North of Azores, East of Greenland) and in NAFO subareas 1 and 2 (deep pelagic stock > 500 m)"
NWWG,reb.2127.sp,"Beaked redfish (Sebastes mentella) in ICES subareas 5, 12, and 14 (Iceland and Faroe grounds, North of Azores, East of Greenland) and in NAFO subareas 1 and 2 (shallow pelagic stock < 500 m)"
NWWG,reb.27.14b,Beaked redfish  (Sebastes mentella) in Division 14.b; demersal (Southeast Greenland)
NWWG,reb.27.5a14,"Beaked redfish  (Sebastes mentella) in Subarea 14 and in Division 5.a; Icelandic slope stock (East of Greenland, Iceland grounds)"
NWWG,reg.27.561214,"Golden redfish (Sebastes norvegicus) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)"
NWWG,usk.27.5a14,"Tusk (Brosme brosme) in Subarea 14 and in Division 5.a (East Greenland, Iceland grounds)"
WGBAST,,
WGBAST,sal.27.22-31,"Salmon (Salmo salar) in subdivisions 22–31 (Baltic Sea, excluding the Gulf of Finland)"
WGBAST,sal.27.32,Salmon (Salmo salar) in Subdivision 32 (Gulf of Finland)
WGBAST,trs.27.22-32,Sea trout (Salmo trutta) in subdivisions 22–32 (Baltic Sea)
WGBFAS,,
WGBFAS,,
WGBFAS,bll.27.22-32,Brill (Scophthalmus rhombus) in subdivisions 22–32 (Baltic Sea)
WGBFAS,bwp.27.2729-32,Baltic flounder (Platichthys solemdali) in subdivisions 27 and 29–32 (northern central and northern Baltic Sea)
WGBFAS,bzq.27.2425,Flounder (Platichthys spp) in subdivisions 24 and 25 (west of Bornholm and southwestern central Baltic)
WGBFAS,bzq.27.2628,Flounder (Platichthys spp) in subdivisions 26 and 28 (east of Gotland and Gulf of Gdansk)
WGBFAS,cod.27.21,Cod (Gadus morhua) in Subdivision 21 (Kattegat)
WGBFAS,cod.27.22-24,"Cod (Gadus morhua) in subdivisions 22–24, western Baltic stock (western Baltic Sea)"
WGBFAS,cod.27.24-32,"Cod (Gadus morhua) in subdivisions 24–32, eastern Baltic stock (eastern Baltic Sea)"
WGBFAS,dab.27.22-32,Dab (Limanda limanda) in subdivisions 22–32 (Baltic Sea)
WGBFAS,fle.27.2223,Flounder (Platichthys flesus) in subdivisions 22 and 23 (Belt Seas and the Sound)
WGBFAS,her.27.25-2932,"Herring (Clupea harengus) in subdivisions 25–29 and 32, excluding the Gulf of Riga (central Baltic Sea)"
WGBFAS,her.27.28,Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga)
WGBFAS,her.27.3031,Herring (Clupea harengus) in Subdivisions 30 and 31 (Gulf of Bothnia)
WGBFAS,ple.27.21-23,"Plaice (Pleuronectes platessa) in subdivisions 21–23 (Kattegat, Belt Seas, the Sound)"
WGBFAS,ple.27.24-32,"Plaice (Pleuronectes platessa) in subdivisions 24–32 (Baltic Sea, excluding the Sound and Belt Seas)"
WGBFAS,sol.27.20-24,"Sole (Solea solea) in subdivisions 20–24 (Skagerrak, Kattegat, western Baltic Sea)"
