Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	2	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_40-59_0_0	66676	kWd	11180.68	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	21906	kWd	0.00	Discards	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_32-69_0_0	29188	kWd	2672.12	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	480525	kWd	191300.04	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_32-69_0_0	83603	kWd	3853.63	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_32-69_0_0	93830	kWd	6019.69	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	375933	kWd	85884.28	Landings	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_all_0_0_all	51412	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_all_0_0_all	119946	kWd	167.03	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	560117	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.a	OTB_MCF_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
Spain	1	Quarter	2024	sol.27.8ab	27.8.a	OTB_MCF_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.b	OTB_MCF_>=70_0_0	0	kWd	0.00	Discards	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	74421	kWd	814.80	Landings	R-Reported	Imported
Spain	4	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_>=100_0_0	8730	kWd	0.00	Landings	R-Reported	Imported
Spain	4	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	199147	kWd	3566.72	Landings	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_60-79_0_0	301	kWd	4.10	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	282024	kWd	14391.56	Landings	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.b	MIS_MIS_0_0_0	898821	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	561847	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	804943	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	1363706	kWd	37666.45	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	560214	kWd	51834.76	Landings	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	479868	kWd	13614.71	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	OTT_CRU_>=70_0_0	15306	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	221052	kWd	1512.88	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_100-119_0_0_all	631615	kWd	2500.94	Landings	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_all_0_0_all	64231	kWd	332.45	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	560117	kWd	124255.80	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_32-69_0_0	33275	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_40-59_0_0	45830	kWd	22978.09	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.b	GTR_DEF_40-59_0_0	2449	kWd	296.01	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	550980	kWd	11949.92	Discards	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_all_0_0_all	51412	kWd	979.10	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_100-119_0_0_all	537012	kWd	1038.99	Landings	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	GNS_DEF_all_0_0_all	105621	kWd	817.08	Landings	R-Reported	Imported
