Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Denmark	2	Quarter	2023	whg.27.3a	27.3.a.20	GNS_DEF_>=220_0_0_all	2650	kWd	10.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.20	GTR_DEF_all_0_0_all	3469	kWd	1.50	Landings	R-Reported	Imported
Sweden	4	Quarter	2023	whg.27.3a	27.3.a.20	MIS_MIS_0_0_0_HC	344345	kWd	171.00	Landings	R-Reported	Imported
Sweden	4	Quarter	2023	whg.27.3a	27.3.a.21	MIS_MIS_0_0_0_IBC	4913	kWd	482.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.21	FPO_CRU_0_0_0_all	24697	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_32-69_2_22_all	27836	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.20	MIS_MIS_0_0_0_IBC	1086	kWd	0.00	Landings	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.20	GNS_DEF_all_0_0_all	416	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.20	GTR_DEF_all_0_0_all	198	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.20	LLS_FIF_0_0_0_all	213	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.21	FPO_CRU_0_0_0_all	19113	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	4	Quarter	2023	whg.27.3a	27.3.a.20	GNS_DEF_all_0_0_all	618	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Norway	2	Quarter	2023	whg.27.3a	27.3.a.20	OTB_DEF_>=120_0_0_all	-9	NA	151.00	Landings	R-Reported	Imported
Germany	1	Quarter	2023	whg.27.3a	27.3.a.20	OTB_DEF_>=120_0_0_all	16836	kWd	70.00	Landings	R-Reported	Imported
Norway	3	Quarter	2023	whg.27.3a	27.3.a.20	MIS_MIS_0_0_0_HC	-9	NA	697.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all_FDF	430115	kWd	0.00	BMS landing	R-Reported	Imported
Denmark	1	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	990561	kWd	40189.00	Discards	R-Reported	Imported
Denmark	3	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	140667	kWd	5.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2023	whg.27.3a	27.3.a.20	SDN_DEF_>=120_0_0_all	36936	kWd	7435.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2023	whg.27.3a	27.3.a.20	SDN_DEF_>=120_0_0_all	132082	kWd	0.00	Discards	R-Reported	Imported
Denmark	3	Quarter	2023	whg.27.3a	27.3.a.20	GNS_DEF_120-219_0_0_all	56263	kWd	2.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	784244	kWd	51301.00	Landings	R-Reported	Imported
Netherlands	4	Quarter	2023	whg.27.3a	27.3.a.20	TBB_DEF_>=120_0_0_all	47890	kWd	30.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_70-89_2_35_all	95137	kWd	1170.00	Discards	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	156975	kWd	14381.86	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	236940	kWd	5826.64	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	243082	kWd	15530.38	Discards	R-Reported	Imported
