Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Sweden	3	Quarter	2022	whg.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	6989	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2022	whg.27.3a	27.3.a.20	FPO_CRU_0_0_0_all	133525	kWd	56.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2022	whg.27.3a	27.3.a.21	FPO_CRU_0_0_0_all	14997	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2022	whg.27.3a	27.3.a.21	FPO_CRU_0_0_0_all	3573	kWd	2.00	Landings	R-Reported	Imported
Sweden	3	Quarter	2022	whg.27.3a	27.3.a.20	GNS_DEF_all_0_0_all	3519	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2022	whg.27.3a	27.3.a.20	GTR_DEF_all_0_0_all	1604	kWd	19.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2022	whg.27.3a	27.3.a.21	GTR_DEF_all_0_0_all	1760	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Denmark	1	Quarter	2022	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	-9	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2022	whg.27.3a	27.3.a.20	GTR_DEF_all_0_0_all	5614	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	1	Quarter	2022	whg.27.3a	27.3.a.20	GNS_DEF_all_0_0_all	8784	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	3	Quarter	2022	whg.27.3a	27.3.a.21	LLS_FIF_0_0_0_all	22466	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	1	Quarter	2022	whg.27.3a	27.3.a.20	FPO_CRU_0_0_0_all	195355	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	4	Quarter	2022	whg.27.3a	27.3.a.20	LLS_FIF_0_0_0_all	1914	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	1	Quarter	2022	whg.27.3a	27.3.a.20	MIS_MIS_0_0_0_IBC	1418	kWd	0.00	Landings	R-Reported	Imported
Norway	1	Quarter	2022	whg.27.3a	27.3.a.20	MIS_MIS_0_0_0_HC	-9	NA	50.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2022	whg.27.3a	27.3.a.20	SSC_DEF_>=120_0_0_all	18503	kWd	62.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2022	whg.27.3a	27.3.a.20	OTB_DEF_>=120_0_0_all	19968	kWd	195.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2022	whg.27.3a	27.3.a.20	MIS_MIS_0_0_0_HC	44652	kWd	6.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2022	whg.27.3a	27.3.a.20	LLS_FIF_0_0_0_all	1	kWd	2.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2022	whg.27.3a	27.3.a.20	OTB_DEF_>=120_0_0_all	-9	kWd	482.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2022	whg.27.3a	27.3.a.20	OTB_DEF_>=120_0_0_all	-9	kWd	910.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2022	whg.27.3a	27.3.a.20	LLS_FIF_0_0_0_all	1	kWd	5.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2022	whg.27.3a	27.3.a.21	GNS_DEF_100-119_0_0_all	-9	kWd	1.00	Discards	R-Reported	Imported
Denmark	4	Quarter	2022	whg.27.3a	27.3.a.20	OTB_CRU_32-69_0_0_all	-9	kWd	0.00	Discards	R-Reported	Imported
Sweden	1	Quarter	2022	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	96030	kWd	3021.84	Discards	R-Reported	Imported
Sweden	4	Quarter	2022	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	105777	kWd	5920.85	Discards	R-Reported	Imported
Sweden	1	Quarter	2022	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	186773	kWd	10692.71	Discards	R-Reported	Imported
Sweden	2	Quarter	2022	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	224752	kWd	7481.42	Discards	R-Reported	Imported
Sweden	3	Quarter	2022	whg.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	304742	kWd	1772.96	Discards	R-Reported	Imported
Sweden	3	Quarter	2022	whg.27.3a	27.3.a.21	OTB_CRU_70-89_2_35_all	111874	kWd	124.55	Discards	R-Reported	Imported
Germany	3	Quarter	2022	whg.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	14807	kWd	0.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2022	whg.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	128	kWd	16.00	Landings	R-Reported	Imported
