HI,DK ,2023 ,Quarter,1 ,Active ,SubDiv ,27.3.b.23 ,NA,dop,0 ,NA
SI,DK ,2023 ,Quarter,1 ,Active ,SubDiv ,27.3.b.23 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,0 ,0 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,2 ,Active ,SubDiv ,27.3.b.23 ,NA,dop,62 ,NA
SI,DK ,2023 ,Quarter,2 ,Active ,SubDiv ,27.3.b.23 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,11 ,11 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,3 ,Active ,SubDiv ,27.3.b.23 ,NA,dop,44 ,NA
SI,DK ,2023 ,Quarter,3 ,Active ,SubDiv ,27.3.b.23 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,0 ,0 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,4 ,Active ,SubDiv ,27.3.b.23 ,NA,dop,11 ,NA
SI,DK ,2023 ,Quarter,4 ,Active ,SubDiv ,27.3.b.23 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,5 ,5 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,1 ,Active ,SubDiv ,27.3.c.22 ,NA,dop,208 ,NA
SI,DK ,2023 ,Quarter,1 ,Active ,SubDiv ,27.3.c.22 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,88 ,88 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,2 ,Active ,SubDiv ,27.3.c.22 ,NA,dop,845 ,NA
SI,DK ,2023 ,Quarter,2 ,Active ,SubDiv ,27.3.c.22 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,288 ,288 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,3 ,Active ,SubDiv ,27.3.c.22 ,NA,dop,602 ,NA
SI,DK ,2023 ,Quarter,3 ,Active ,SubDiv ,27.3.c.22 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,50 ,50 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,4 ,Active ,SubDiv ,27.3.c.22 ,NA,dop,433 ,NA
SI,DK ,2023 ,Quarter,4 ,Active ,SubDiv ,27.3.c.22 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,1254 ,1254 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,1 ,Active ,SubDiv ,27.3.d.24 ,NA,dop,78 ,NA
SI,DK ,2023 ,Quarter,1 ,Active ,SubDiv ,27.3.d.24 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,369 ,369 ,-9,NA,trip,NA
HI,DK ,2023 ,Quarter,2 ,Active ,SubDiv ,27.3.d.24 ,NA,dop,98 ,NA
SI,DK ,2023 ,Quarter,2 ,Active ,SubDiv ,27.3.d.24 ,NA,BLL ,NA,L,R,NA,H ,M,NA,kg,82 ,82 ,-9,NA,trip,NA
