Mean weights at Lngt Lngt:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt560	UndeterminedLngt570	UndeterminedLngt580	UndeterminedLngt600	UndeterminedLngt610	UndeterminedLngt630	UndeterminedLngt660	
tur.27.3a	2022	3	27.3.a.20	Denmark	187703.00	Landings	R-Reported	SDN_DEF_>=120_0_0_all	1433.00	1433	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	937.90	1068.88	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	2278.10	0.00	2455.77	0.00	2376.20	3047.64	0.00	3195.88	0.00	0.00	0.00	0.00	4563.83	5366.07	0.00	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	369330.00	Landings	R-Reported	OTB_CRU_32-69_0_0_all	14.00	14	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	1058.82	1122.41	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	2278.10	0.00	2455.77	0.00	2376.20	3047.64	0.00	3195.88	0.00	0.00	0.00	0.00	4563.83	5366.07	0.00	0.00	
tur.27.3a	2022	2	27.3.a.20	Denmark	65096.00	Landings	R-Reported	GNS_DEF_120-219_0_0_all	7136.00	7136	0.00	123	0.00	3	0.00	0.00	248.52	0.00	313.92	356.98	452.90	522.66	534.54	600.59	631.93	699.78	721.04	793.52	0.00	961.93	1078.41	1166.85	1319.99	1470.41	0.00	0.00	1480.22	2081.90	0.00	2127.68	0.00	2234.50	2489.20	0.00	0.00	3232.94	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	5250.00	Landings	R-Reported	TBB_DEF_>=120_0_0_all	272.00	272	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	1001.85	1108.42	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	2278.10	0.00	2455.77	0.00	2376.20	3047.64	0.00	3195.88	0.00	0.00	0.00	0.00	4563.83	5366.07	0.00	0.00	
tur.27.3a	2022	4	27.3.a.20	Denmark	76252.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	4556.00	4556	0.00	129	0.00	7	0.00	0.00	0.00	0.00	317.19	0.00	0.00	0.00	487.23	525.38	536.28	627.84	582.06	749.92	813.36	891.08	914.87	1077.80	1177.75	1237.59	1408.28	1503.66	1507.47	1702.58	1725.47	2265.02	2073.27	2146.64	2233.96	2791.13	2551.69	0.00	3106.38	0.00	3508.71	3864.05	4096.22	4087.50	0.00	4552.93	5492.51	7138.41	
tur.27.3a	2022	2	27.3.a.21	Denmark	3872.00	Discards	R-Reported	GNS_DEF_120-219_0_0_all	3413.00	3413	0.00	85	0.00	1	149.00	176.00	196.00	212.00	277.00	325.00	296.00	342.00	443.00	438.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	16644.00	Landings	R-Reported	TBB_DEF_>=120_0_0_all	425.00	425	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	541.37	500.31	615.31	649.10	694.88	758.64	878.27	887.99	930.07	1082.59	1140.89	1308.03	1302.82	1514.45	1620.56	1860.99	1853.00	2077.54	2102.61	2302.20	2441.60	2648.70	0.00	2542.43	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	192299.00	Landings	R-Reported	OTB_CRU_32-69_0_0_all	2.00	2	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1035.50	1174.84	1220.44	1321.08	1302.82	1514.45	1620.56	1860.99	1853.00	2077.54	2081.90	2292.27	2441.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	4	27.3.a.20	Denmark	7172.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	29.00	29	0.00	129	0.00	7	0.00	0.00	0.00	0.00	317.19	0.00	0.00	0.00	487.23	525.38	536.28	627.84	582.06	749.92	813.36	891.08	914.87	1086.12	1177.75	1237.59	1408.28	1503.66	1507.47	1702.58	1725.47	2265.02	2081.11	2171.18	2233.96	2791.13	2551.69	0.00	3163.07	0.00	3508.71	3864.05	4096.22	4087.50	0.00	4552.93	5492.51	7138.41	
tur.27.3a	2022	2	27.3.a.21	Denmark	564691.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	321.00	321	0.00	5	0.00	11	0.00	176.00	196.00	0.00	277.00	0.00	0.00	0.00	443.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
