Catch.Cat.,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10+
B,0.002035252672164213,0.29108219902697946,8.09331122814872,51.37287742448701,53.57536262684185,13.239381320576364,6.77440982607681,1.2425460682482403,0.07580679463783428,0,0
D,59.04495008104471,8676.992155569998,236070.84061818855,1493275.7843133195,1559233.8756653855,388579.9541186483,196728.24584746335,36047.64733958115,2199.2396651347026,0,0
L,0,0,149460.7614120495,3294920.9243435264,6141857.315885672,4417166.531547728,3302111.124764552,2009529.4596769875,1260155.8730310882,725139.6986436828,581835.8643926433
R,0,0,0,0,0,0,0,0,0,0,0
C,59.046985333716876,8677.283237769025,385539.69534146617,4788248.08153427,7701144.766913685,4805759.725047697,3498846.1450218414,2045578.3495626368,1262355.1885030174,725139.6986436828,581835.8643926433
