Catch.Cat.,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10+
B,152.37,344.91290118823895,653.7416217752609,900.0502899897969,1178.4224386062012,1501.8859469256868,1988.6881146952082,2474.3952370304114,4033,,
D,152.37,339.7883875286889,652.7185444415361,899.5019556962602,1177.4011977676835,1495.9812112276402,1988.2134838526451,2474.3952370304114,4033,,
L,,,812.6679634415201,1160.3925206090205,1530.0591845044376,1955.3396824563767,2573.9841352675594,3276.591316036535,3959.4783366834945,4796.688670681907,7129.6051990222495
R,,,,,,,,,,,
C,152.37,339.7885594321135,714.725571266783,1079.0277018202844,1458.6548498044092,1918.1960241518161,2541.047106035548,3262.454346839059,3959.6064284702807,4796.688670681907,7129.6051990222495
