Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Norway	2	Quarter	2023	tur.27.3a	27.3.a.20	MIS_MIS_0_0_0_HC	-9	NA	160.00	Landings	R-Reported	Imported
Norway	3	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	-9	NA	2.20	Landings	R-Reported	Imported
Norway	2	Quarter	2023	tur.27.3a	27.3.a.20	SSC_DEF_>=120_0_0_all	-9	NA	35.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	990561	kWd	0.00	Discards	R-Reported	Imported
Denmark	1	Quarter	2023	tur.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all_FDF	289426	kWd	1849.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2023	tur.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all_FDF	430115	kWd	1751.00	Landings	R-Reported	Imported
Germany	3	Quarter	2023	tur.27.3a	27.3.a.21	OTB_DEF_<16_0_0_all	221	kWd	7.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2023	tur.27.3a	27.3.a.20	SDN_DEF_>=120_0_0_all	112245	kWd	703.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2023	tur.27.3a	27.3.a.20	SDN_DEF_>=120_0_0_all	61042	kWd	268.00	Landings	R-Reported	Imported
Netherlands	2	Quarter	2023	tur.27.3a	27.3.a.20	TBB_DEF_>=120_0_0_all	14544	kWd	1360.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2023	tur.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	106250	kWd	0.00	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	243082	kWd	0.00	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	tur.27.3a	27.3.a.21	OTB_CRU_70-89_2_35_all	95137	kWd	33.89	Discards	R-Reported	Imported
Sweden	3	Quarter	2023	tur.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	156975	kWd	117.00	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	236940	kWd	0.00	Discards	R-Reported	Imported
Sweden	1	Quarter	2023	tur.27.3a	27.3.a.21	OTB_CRU_32-69_2_22_all	7664	kWd	0.00	Landings	R-Reported	Imported
Sweden	4	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	201358	kWd	204.40	Landings	R-Reported	Imported
Sweden	3	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	193538	kWd	0.00	Discards	R-Reported	Imported
Sweden	4	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_32-69_0_0_all	101551	kWd	0.00	Landings	R-Reported	Imported
Sweden	3	Quarter	2023	tur.27.3a	27.3.a.21	MIS_MIS_0_0_0_HC	29602	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2023	tur.27.3a	27.3.a.21	OTB_CRU_70-89_2_35_all	70944	kWd	0.00	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_32-69_2_22_all	125212	kWd	0.00	Discards	R-Reported	Imported
Sweden	1	Quarter	2023	tur.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	2172	kWd	42.10	Discards	R-Reported	Imported
Sweden	1	Quarter	2023	tur.27.3a	27.3.a.20	FPO_CRU_0_0_0_all	190032	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_32-69_0_0_all	145282	kWd	0.00	Discards	R-Reported	Imported
Sweden	4	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	222509	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_32-69_2_22_all	53978	kWd	0.00	Discards	R-Reported	Imported
Sweden	4	Quarter	2023	tur.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	366	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2023	tur.27.3a	27.3.a.21	GTR_DEF_all_0_0_all	3292	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	3	Quarter	2023	tur.27.3a	27.3.a.20	FPO_CRU_0_0_0_all	240005	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	1	Quarter	2023	tur.27.3a	27.3.a.20	OTB_CRU_32-69_2_22_all	141320	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Denmark	2	Quarter	2023	tur.27.3a	27.3.a.21	GNS_DEF_>=220_0_0_all	288	kWd	189.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2023	tur.27.3a	27.3.a.20	GNS_DEF_>=220_0_0_all	2650	kWd	335.00	Landings	R-Reported	Imported
