Mean weights at Age Age:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge20	UndeterminedAge21	
sol.27.8ab	2024	2	27.8.a	France	560117.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	124255.80	-9	-9	1177	-9	54	0.00	0.00	321.64	258.53	280.40	271.10	371.17	340.67	421.04	526.98	398.25	173.00	339.43	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	66676.00	Landings	R-Reported	GTR_DEF_40-59_0_0	11180.68	-9	-9	24	-9	6	0.00	0.00	326.05	305.29	339.46	319.92	386.56	392.89	422.98	493.73	473.27	173.00	363.33	358.00	664.87	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	371486.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	98693.24	-9	-9	1219	-9	24	0.00	169.01	240.17	330.17	390.61	457.55	545.55	683.74	671.12	552.14	884.00	942.63	0.00	0.00	0.00	0.00	827.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	Belgium	374400.00	Discards	R-Reported	TBB_DEF_70-99_0_0_all	7900.00	-9	104	754	2	2	0.00	102.32	105.82	107.89	110.14	109.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	92603.00	Landings	R-Reported	GNS_DEF_all_0_0_all	952.42	-9	-9	41	-9	7	0.00	0.00	342.83	406.26	393.47	380.19	521.03	458.35	546.48	598.15	499.89	0.00	431.87	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.b	France	336697.00	Landings	R-Reported	OTB_DEF_>=70_0_0	41986.99	-9	-9	628	-9	15	0.00	0.00	168.42	220.86	303.19	299.79	315.04	336.80	353.11	438.28	527.00	522.11	0.00	0.00	0.00	619.00	770.24	372.00	0.00	0.00	793.84	
sol.27.8ab	2024	4	27.8.b	France	480525.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	191300.04	-9	-9	328	-9	13	0.00	127.08	227.09	297.00	344.16	334.68	346.40	315.60	406.87	332.51	441.17	437.14	617.23	639.78	769.60	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.b	France	375933.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	85884.28	-9	-9	620	-9	11	0.00	188.23	268.96	329.46	389.79	414.11	481.85	490.50	581.49	556.87	884.00	558.00	0.00	0.00	0.00	0.00	827.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.b	France	259914.00	Landings	R-Reported	OTB_DEF_>=70_0_0	37933.18	-9	-9	333	-9	6	0.00	159.73	225.79	290.11	324.65	326.06	353.64	324.71	396.65	353.61	519.12	391.18	617.23	506.91	729.84	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	561847.00	Landings	R-Reported	OTB_DEF_>=70_0_0	40879.27	-9	-9	484	-9	17	0.00	154.12	210.43	302.79	350.88	468.51	401.45	505.19	580.30	551.92	884.00	558.00	0.00	0.00	0.00	0.00	827.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	550980.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	244921.76	-9	-9	736	-9	24	0.00	172.39	250.09	310.73	349.28	341.11	362.09	336.82	451.40	360.19	509.22	618.48	617.23	725.93	729.84	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	6667.00	Landings	R-Reported	OTB_DEF_<16_0_0_all	408.80	-9	-9	65	-9	2	0.00	161.60	205.14	270.25	276.97	360.83	211.68	276.56	894.70	0.00	0.00	1118.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
