Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	1	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	409236	kWd	15302.33	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	793755	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Spain	3	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	161823	kWd	535.00	Landings	R-Reported	Imported
Spain	4	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_60-79_0_0	2564	kWd	9.00	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	1026071	kWd	45850.23	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	444057	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	428370	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_32-69_0_0	2314	kWd	173.80	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	550386	kWd	585440.94	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	1897574	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	342558	kWd	35172.19	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_all_0_0_all	10463	kWd	605.00	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_all_0_0_all	14563	kWd	478.86	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	7381	kWd	89.91	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.a	OTB_CRU_>=70_0_0	61001	kWd	2665.77	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_all_0_0_all	87735	kWd	434.05	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	554606	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Spain	3	Quarter	2020	sol.27.8ab	27.8.b	OTB_MPD_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
Spain	2	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_60-79_0_0	72	kWd	8.80	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	665921	kWd	59121.33	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	MIS_MIS_0_0_0	562844	kWd	4005.36	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	OTT_DEF_>=70_0_0	24632	kWd	2546.49	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	472716	kWd	169454.85	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	409236	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	338723	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Spain	2	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	481362	kWd	158603.57	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	GNS_DEF_all_0_0_all	78442	kWd	6605.38	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	704764	kWd	39262.22	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	1983411	kWd	8780.62	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	1296581	kWd	29420.60	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_all_0_0_all	75339	kWd	0.00	Discards	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	466135	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_40-59_0_0	27977	kWd	9653.46	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_40-59_0_0	53721	kWd	9656.02	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	OTB_CRU_>=70_0_0	30772	kWd	1092.42	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	296090	kWd	0.00	Discards	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	1501764	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.b	OTB_CRU_>=70_0_0	2453	kWd	751.30	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	491530	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Belgium	3	Quarter	2020	sol.27.8ab	27.8.b	TBB_DEF_70-99_0_0_all	623280	kWd	16780.00	Discards	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_32-69_0_0	55767	kWd	3145.83	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.b	MIS_MIS_0_0_0	640433	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	162726	kWd	0.00	Discards	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	311696	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Spain	4	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	158210	kWd	566.00	Landings	R-Reported	Imported
